User ID,Name,Linked Accounts,Money Sources,Total Credit Amount,Transfer Accounts,Transaction Amount,Employment Status,Education Level,Marital Status,Fraud Indicator
1,Name 1,1,['5163939486766422'],74731.11,['4193390050901838'],150000.0,Unemployed,High School,Single,0
2,Name 2,3,['2299478980022986'],172761.07,['4212459672108523'],92533.57,Unemployed,High School,Single,1
3,Name 3,2,['2234064590618534'],287591.79,"['4333668140034624', '4319327484379404', '4514852842745288']",79770.23,Student,Master,Single,0
4,Name 4,1,"['2283655295928738', '2706198304993616']",32852.06,['4434964809364719'],29841.54,Employed,High School,Single,0
5,Name 5,2,['5424399319311885'],261280.26,['4967204177590149'],226605.32,Unemployed,Bachelor,Divorced,1
6,Name 6,1,['2259910068757230'],164900.56,['4405891203576876'],68591.75,Student,Bachelor,Divorced,0
7,Name 7,1,['5366303696734149'],243463.28,"['4888780415080411', '4148201636074022', '4478719681271805']",226544.75,Student,Master,Single,1
8,Name 8,2,"['2237966009328074', '2247732209017042']",51432.76,['4751642087087013'],32463.42,Unemployed,PhD,Married,0
9,Name 9,1,['2244790050380284'],229176.83,['4099380047159629'],75166.7,Student,High School,Married,0
10,Name 10,2,['2707213181731150'],207282.19,['4256551483256322'],165971.31,Unemployed,High School,Married,1
11,Name 11,2,"['2653613078204589', '2284993512604413', '2238222530670595']",219406.7,['4116558883696601'],177625.03,Employed,Master,Divorced,1
12,Name 12,1,['2229712055358981'],166419.92,['4092163208336310'],33360.12,Employed,High School,Married,0
13,Name 13,2,['2255519571631354'],264622.78,"['4496408026531820', '4386699879199789', '4910733976192457']",155807.87,Student,Bachelor,Single,1
14,Name 14,1,"['2225552569963007', '2570813556778902']",289665.24,['4232180203008430'],217797.59,Unemployed,Master,Married,0
15,Name 15,2,['2278900072478698'],150000.0,['4391002993049886'],150000.0,Student,High School,Single,0
16,Name 16,3,"['5478680113955927', '2720767020998885', '2255456765825262']",105824.26,['4572826511843060'],62259.76,Student,PhD,Single,0
17,Name 17,2,['2711130672274264'],201105.0,['4224995628436241'],179198.51,Student,High School,Single,1
18,Name 18,2,['2553088233517855'],82110.34,['4643668286489876'],44134.74,Employed,High School,Married,0
19,Name 19,1,"['2382117136251796', '5444454365188830', '5594046340194954']",299791.92,['4408891615942465'],282132.25,Employed,PhD,Married,1
20,Name 20,2,['2720499769880674'],119902.2,['4744139293460035'],99189.87,Unemployed,PhD,Single,0
21,Name 21,1,['5135196018919210'],226912.91,['4060666685960459'],136665.18,Employed,High School,Divorced,0
22,Name 22,3,['2269870736971324'],205811.64,['4782980082624197'],187747.52,Student,High School,Divorced,1
23,Name 23,3,"['2271600229290379', '2593191074049962']",281064.81,['4288273150911137'],109881.94,Student,Master,Married,0
24,Name 24,1,"['2587098959658619', '2714528373858722', '5104822858572937']",190136.18,"['4188609216276026', '4258193966246971', '4838982175305274']",119806.24,Employed,Master,Single,0
25,Name 25,2,"['2239409695959033', '2255716023878175']",251786.04,['4448003265861043'],249214.41,Employed,Master,Divorced,0
26,Name 26,1,['5425371187632485'],225300.84,['4895893555914553'],83024.2,Student,Master,Divorced,0
27,Name 27,1,"['2704001087958586', '5544278790878445', '2462918357973858']",132836.97,"['4150320008056857', '4917141427765041', '4359447372031981']",108513.91,Unemployed,Bachelor,Divorced,0
28,Name 28,2,['2224772701755282'],31820.72,['4431340205576300'],20253.0,Student,Bachelor,Married,0
29,Name 29,2,['2247754073663164'],270688.14,['4234850427193451'],76397.64,Unemployed,Bachelor,Single,1
